convaincre [qqn] que	to persuade [sb]
se convaincre de [qch]	to be persuaded of [sth]
convenir à [qch]	to suit/be adapted to [sth]
convenir à [qqn]	to suit
convenir de [qch]	to admit to [sth]
convenir que	to admit
convenir de faire [qch]	to agree to do [sth]
se convenir	to be well suited
correspondre à [qch]	to equal/match/tally with [sth]
correspondre avec [qqn]	to correspond with [sb]
correspondre avec [qch]	to be linked with [sth]
correspondre	to match/be linked
corriger	to fix
corrompre	to bribe/subvert/adulterate
se corrompre	to be corrupted
coucher	to sleep/put [sb] to bed/lay [sth] down
se coucher	to go to bed/tip over/be flattened
coudre	to sew
couper	to cut/close/cross/blend/play a trump/block [sb] off
se couper	to cut yourself/cross/contradict yourself
courir	to run/sprint/take/race/be in effect/sail
courir à	to be heading for [sth]
courir après	to chase
coûter	to cost
coûter [qch] à [qqn]	to cost [sb] [sth]
couvrir	to cover/put a lid on [sth]/compensate for [sth]/drown [sth] out/include/serve/extend over/protect/insure/be all over [sth]/run/mate with [sth]
se couvrir	to become overcast/cover up/put a hat on
se couvrir de [qqn]	to fill with [sth]
craindre [qch]	to be afraid of [sth]/not like [sth]
craindre que + [subjonctif]	to be worried + [indicative]
craindre	to be risky
créer	to design/bring into being
se créer	to be created/invent
crier	to call/yell/clash
croire [qch]	to believe
croire que + [indicatif]	to think
croire	to think/believe
croire à	to believe in [sb]
croire en [qqn]	to believe in [sb]
se croire	to think
cueillir	to pick
cuire	to fire/dry [sth] out
culpabiliser	to feel guilty
danser	to dance
débattre de	to debate
débattre	to haggle over
se débattre	to struggle
décevoir	to let [sb] down
déchirer	to rip
se déchirer	to rip
décider [qch]	to decide
décider	to decide on [sth]
décider de faire [qch]	to decide to do [sth]
décider de	to decide
décider [qqn] à faire [qch]	to persuade [sb] to do [sth]
se décider	to decide
se décider pour [qch]	to choose [sth]
se décider à faire [qch]	to decide to do [sth]
découdre	to unstitch
se découdre	to come undone
en découdre avec	to confront
décourager [qqn]	to dispirit
décourager [qqn] de faire [qch]	to make [sb] not want to do [sth]
décourager [qch]	to deter
se décourager	to lose heart
découvrir [qch]	to uncover/discover/reveal/leave [sth] vulnerable
se découvrir	to take off your hat/take off a layer/throw off the bedclothes
se découvrir [qch]	to find
découvrir [qqn]	to find
décrire	to describe/trace
décrire [qch]	to describe
se dédire	to recant
déduire	to deduce
déduire [qch] de [qch]	to deduct
défaire	to undo/dismantle/remove/defeat
se défaire	to come apart
se défaire de [qch]	to get rid of [sth]/part with [sth]
se défaire de [qqn]	to dismiss
défendre [qch]	to defend/support
défendre [qqn]	to defend
se défendre	to fight back/get on in [sth]
se défendre de [qch]	to defend yourself against [sth]
dégager	to clear/remove/unblock/emit/draw/extricate/free
se dégager	to free yourself/clear/waft/emerge
se dégager de [qch]	to free yourself
déjeuner de [qch]	to have [sth] for lunch
demander [qch]	to ask [sb] [sth]/request/demand
se demander [qch]	to wonder
demander [qqn]	to look for [sb]
demander [qch] de [qqn]	to ask [sth] of [sb]
déménager	to move house
demeurer	to live/stay/still be [sth]
démolir	to demolish
dénoncer	to report/condemn/back out of [sth]
se départir	to lose
dépasser	to be taller than [sth]/poke out/pass/exceed
se dépasser	to outdo yourself/pass one another
dépêcher	to send
se dépêcher	to rush
dépeindre	to depict/show
dépendre de	to depend on [sth]/depend on [sb]
dépendre de [qqn]	to report to [sb]/be dependent on [sb]/be [sb]'s decision
dépendre	to take [sth] down
dépenser	to spend/use
se dépenser	to exert yourself/work hard
déplaire à [qqn]	to upset
se déplaire	to dislike
n'en déplaise à	to no offence to
déranger	to disturb/upset/derange/make [sth] untidy/unnerve
se déranger	to come out/step aside
descendre	to go down/fall/come down/descend/take [sth] down/lower/[verb] + down/raid/ebb/take [sb] down
descendre dans	to raid
descendre de	to be descended from [sb]
désirer	to like/crave/lust after
désobéir	to disobey
dessiner	to draw/outline
se dessiner	to appear/take shape
déteindre sur [qch]	to bleed onto [sth]
détenir	to own/jail
détester [qch]	to hate
se détester	to hate yourself/hate each other
détourner	to divert/hijack/embezzle/twist/deter
se détourner	to turn away
se détourner de [qch]	to turn away from
détruire	to ruin
se détruire	to destroy yourself
développer	to grow/call on
se développer	to develop
devenir	to become
dévêtir	to strip
se dévêtir	to strip
deviner	to guess/sense/make [sth] out
devoir faire [qch]	to must/need to/be bound to do [sth]
devoir [qch] à [qqn]	to owe/be indebted to [sb] for [sth]
devoir [qch] à [qch]	to owe [sth] to [sb]
se devoir de faire [qch]	to must do [sth]
se devoir [qch]	to owe each other [sth]
différer	to differ/defer
différer de	to differ from
différer sur	to differ on
diminuer	to cut/soothe/weaken/deride/drop
dîner de	to eat
dire	to say/recite/claim
dire à [qqn] de faire [qch]	to tell [sb] to do [sth]
se dire	to be said/be pronounced/say you are [sb]
se dire [qch]	to tell each other [sth]/think
dire [qch] à [qqn]	to remind [sb] of [sb]
diriger	to point [sth] at [sb]/steer/direct
se diriger	to find your way
se diriger vers [qch]	to head for [sth]/gravitate towards
discourir sur	to talk about/discuss
discuter	to talk to [sb] (about [sth])/discuss [sth]/debate/dispute/argue
se discuter	to be debated
disjoindre	to come away/deal separately with
disparaître	to disappear/vanish/die out
dissoudre	to dissolve/disband
se dissoudre	to dissolve
divorcer	to divorce
divorcer de [qqn]	to divorce
donner	to hand/let [sb] have [sth]/put on/come to/bear fruit/blare
se donner	to give of yourself/show
se donner à [qqn]	to give yourself to [sb]
donner sur	to overlook
dormir	to sleep/rest
doubler [qch]	to double/pass/line
doubler [qqn]	to stand in for [sb]/dub
doubler	to double
se doubler de [qch]	to also be a [sth]
douter	to waver
douter de [qch]	to doubt
douter que + [subjonctif]	to doubt whether + [indicative]
douter de pouvoir faire [qch]	to doubt
se douter de	to suspect
échapper à [qqn]	to escape/elude/slip from [sth]/slip [sb]'s mind
échapper à [qch]	to avoid/dodge
s'échapper	to escape/slip out of
échouer	to run aground/wash up/fail
échouer à	to fail
s'échouer	to beach
éconduire	to turn away/dismiss
écouter	to listen to
s'écouter	to should be listened to/take care of yourself
écraser	to press/crush/run over
s'écraser	to crash/be crushed
écrire	to write
écrire [qch] à [qqn]	to write [sb] [sth]
s'écrire	to spell/be written
effacer	to erase/wipe/delete
s'effacer	to fade/step aside
effrayer	to terrify
s'effrayer	to get scared
égayer	to amuse/cheer [sth] up
élever	to raise/lift/erect/build/elevate
s'élever	to rise/come to/go up/be raised
élire	to elect
éloigner	to take [sb] away/alienate/postpone
s'éloigner	to pull away/get away (from [sth])/digress (from [sth])/grow apart (from [sb])
embrasser	to kiss
s'embrasser	to kiss
emmener	to take/lead
s'emparer de [qch]	to take
s'emparer de [qqn]	to catch
empêcher	to put a stop to [sth]
empêcher [qqn] de faire [qch]	to stop [sb] doing [sth]
employer	to employ
s'employer	to be used
emprunter [qch]	to borrow/take
